STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards
30162,W,18th (54th/Cermak-bound),18th,18th (Pink Line),40830,true,false,false,false,false,false,false,false,true,false,"(41.857908, -87.669147)",8,14920,33,343,26
30161,E,18th (Loop-bound),18th,18th (Pink Line),40830,true,false,false,false,false,false,false,false,true,false,"(41.857908, -87.669147)",8,14920,33,343,26
30022,N,35th/Archer (Loop-bound),35th/Archer,35th/Archer (Orange Line),40120,true,false,false,false,false,false,false,false,false,true,"(41.829353, -87.680622)",26,14924,56,719,1
30023,S,35th/Archer (Midway-bound),35th/Archer,35th/Archer (Orange Line),40120,true,false,false,false,false,false,false,false,false,true,"(41.829353, -87.680622)",26,14924,56,719,1
30214,S,35-Bronzeville-IIT (63rd-bound),35th-Bronzeville-IIT,35th-Bronzeville-IIT (Green Line),41120,true,false,false,true,false,false,false,false,false,false,"(41.831677, -87.625826)",12,21194,1,25,9
30213,N,35-Bronzeville-IIT (Harlem-bound),35th-Bronzeville-IIT,35th-Bronzeville-IIT (Green Line),41120,true,false,false,true,false,false,false,false,false,false,"(41.831677, -87.625826)",12,21194,1,25,9
30246,S,43rd (63rd-bound),43rd,43rd (Green Line),41270,true,false,false,true,false,false,false,false,false,false,"(41.816462, -87.619021)",12,4301,4,162,9
30245,N,43rd (Harlem-bound),43rd,43rd (Green Line),41270,true,false,false,true,false,false,false,false,false,false,"(41.816462, -87.619021)",12,4301,4,162,9
30210,S,47th (63rd-bound),47th,47th (Green Line),41080,true,false,false,true,false,false,false,false,false,false,"(41.809209, -87.618826)",12,21192,4,448,9
30209,N,47th (Harlem-bound),47th,47th (Green Line),41080,true,false,false,true,false,false,false,false,false,false,"(41.809209, -87.618826)",12,21192,4,448,9
30238,S,47th (95th-bound),47th,47th (Red Line),41230,true,true,false,false,false,false,false,false,false,false,"(41.810318, -87.63094)",12,14924,3,189,9
30237,N,47th (Howard-bound),47th,47th (Red Line),41230,true,true,false,false,false,false,false,false,false,false,"(41.810318, -87.63094)",12,14924,3,189,9
30025,S,51st (63rd-bound),51st,51st (Green Line),40130,true,false,false,true,false,false,false,false,false,false,"(41.80209, -87.618487)",12,21192,4,449,9
30024,N,51st (Harlem-bound),51st,51st (Green Line),40130,true,false,false,true,false,false,false,false,false,false,"(41.80209, -87.618487)",12,21192,4,449,9
30113,E,54th/Cermak (Loop-bound),54th/Cermak,54th/Cermak (Pink Line),40580,true,false,false,false,false,false,false,false,true,false,"(41.85177331, -87.75669201)",,4458,,,
30114,W,54th/Cermak (Terminal arrival),54th/Cermak,54th/Cermak (Pink Line),40580,true,false,false,false,false,false,false,false,true,false,"(41.85177331, -87.75669201)",,4458,,,
30178,S,63rd (95th-bound),63rd,63rd (Red Line),40910,true,true,false,false,false,false,false,false,false,false,"(41.780536, -87.630952)",53,21559,66,166,4
30177,N,63rd (Howard-bound),63rd,63rd (Red Line),40910,true,true,false,false,false,false,false,false,false,false,"(41.780536, -87.630952)",53,21559,66,166,4
30192,S,69th (95th-bound),69th,69th (Red Line),40990,true,true,false,false,false,false,false,false,false,false,"(41.768367, -87.625724)",31,21559,67,513,32
30191,N,69th (Howard-bound),69th,69th (Red Line),40990,true,true,false,false,false,false,false,false,false,false,"(41.768367, -87.625724)",31,21559,67,513,32
30047,S,79th (95th-bound),79th,79th (Red Line),40240,true,true,false,false,false,false,false,false,false,false,"(41.750419, -87.625112)",31,21554,40,1,32
30046,N,79th (Howard-bound),79th,79th (Red Line),40240,true,true,false,false,false,false,false,false,false,false,"(41.750419, -87.625112)",31,21554,40,1,32
30275,N,87th (Howard-bound),87th,87th (Red Line),41430,true,true,false,false,false,false,false,false,false,false,"(41.735372, -87.624717)",18,21554,40,1,13
30276,S,87th (95th-bound),87th,87th (Red Line),41430,true,true,false,false,false,false,false,false,false,false,"(41.735372, -87.624717)",18,21554,40,1,13
30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),40450,true,true,false,false,false,false,false,false,false,false,"(41.722377, -87.624342)",18,21861,45,187,13
30088,N,95th/Dan Ryan (Howard-bound),95th/Ran Ryan,95th/Ran Ryan (Red Line),40450,true,true,false,false,false,false,false,false,false,false,"(41.722377, -87.624342)",18,21861,45,187,13
30132,S,Adams/Wabash (Inner Loop),Adams/Wabash,"Adams/Wabash (Brown, Green, Orange, Pink & Purple Lines)",40680,false,false,false,true,false,false,true,false,true,true,"(41.879507, -87.626037)",22,14912,38,367,36
30131,N,Adams/Wabash (Outer Loop),Adams/Wabash,"Adams/Wabash (Brown, Green, Orange, Pink & Purple Lines)",40680,false,false,false,true,true,false,false,false,false,false,"(41.879507, -87.626037)",22,14912,38,367,36
30239,N,Addison (O'Hare-bound),Addison,Addison (Blue Line),41240,true,false,true,false,false,false,false,false,false,false,"(41.94738, -87.71906)",15,21538,16,326,50
30240,S,Addison (Forest Pk-bound),Addison,Addison (Blue Line),41240,true,false,true,false,false,false,false,false,false,false,"(41.94738, -87.71906)",15,21538,16,326,50
30277,N,Addison (Kimball-bound),Addison,Addison (Brown Line),41440,true,false,false,false,true,false,false,false,false,false,"(41.947028, -87.674642)",13,21186,46,644,18
30278,S,Addison (Loop-bound),Addison,Addison (Brown Line),41440,true,false,false,false,true,false,false,false,false,false,"(41.947028, -87.674642)",13,21186,46,644,18
30274,S,Addison (95th-bound),Addison,Addison (Red Line),41420,true,true,false,false,false,false,false,false,false,false,"(41.947428, -87.653626)",38,21186,57,727,25
30273,N,Addison (Howard-bound),Addison,Addison (Red Line),41420,true,true,false,false,false,false,false,false,false,false,"(41.947428, -87.653626)",38,21186,57,727,25
30230,S,Argyle (95th-bound),Argyle,Argyle (Red Line),41200,false,true,false,false,false,false,false,false,false,false,"(41.973453, -87.65853)",40,22616,31,634,16
30229,N,Argyle (Howard-bound),Argyle,Argyle (Red Line),41200,false,true,false,false,false,false,false,false,false,false,"(41.973453, -87.65853)",40,22616,31,634,16
30127,N,Armitage (Kimball-Linden-bound),Armitage,Armitage (Brown & Purple Lines),40660,true,false,false,false,true,false,true,false,false,false,"(41.918217, -87.652644)",51,21190,68,744,34
30128,S,Armitage (Loop-bound),Armitage,Armitage (Brown & Purple Lines),40660,true,false,false,false,true,false,true,false,false,false,"(41.918217, -87.652644)",51,21190,68,744,34
30032,E,Ashland (Loop-63rd-bound),Ashland,Ashland (Green & Pink Lines),40170,true,false,false,true,false,false,false,false,true,false,"(41.885269, -87.666969)",41,14917,29,579,46
30033,W,Ashland (Harlem-54th/Cermak-bound),Ashland,Ashland (Green & Pink Lines),40170,true,false,false,true,false,false,false,false,true,false,"(41.885269, -87.666969)",41,14917,29,579,46
30205,N,Ashland (Loop-bound),Ashland,Ashland (Orange Line),41060,true,false,false,false,false,false,false,false,false,true,"(41.839234, -87.665317)",26,14920,33,126,26
30206,S,Ashland (Midway-bound),Ashland,Ashland (Orange Line),41060,true,false,false,false,false,false,false,false,false,true,"(41.839234, -87.665317)",26,14920,33,126,26
30056,E,Ashland/63rd (Harlem-bound),Ashland/63rd,Ashland/63rd (Green Line),40290,true,false,false,true,false,false,false,false,false,false,"(41.77886, -87.663766)",19,22257,65,279,2
30057,W,Ashland/63rd (Terminal arrival),Ashland/63rd,Ashland/63rd (Green Line),40290,true,false,false,true,false,false,false,false,false,false,"(41.77886, -87.663766)",19,22257,65,279,2
